iter	Passed	Remaining
402	9440	13985
403	9464	13961
404	9484	13934
405	9507	13909
406	9529	13884
407	9552	13860
408	9575	13836
409	9597	13810
410	9616	13781
411	9638	13755
412	9659	13729
413	9687	13711
414	9708	13685
415	9731	13661
416	9750	13632
417	9771	13605
418	9795	13582
419	9817	13558
420	9839	13531
421	9862	13508
422	9887	13487
423	9909	13461
424	9930	13435
425	9951	13409
426	9975	13386
427	9997	13361
428	10018	13334
429	10041	13310
430	10063	13285
431	10083	13257
432	10103	13230
433	10125	13205
434	10148	13181
435	10172	13159
436	10194	13133
437	10215	13107
438	10239	13084
439	10265	13064
440	10289	13042
441	10312	13018
442	10333	12992
443	10357	12969
444	10381	12948
445	10403	12922
446	10426	12899
447	10447	12872
448	10470	12848
449	10492	12824
450	10513	12797
451	10534	12772
452	10557	12748
453	10578	12722
454	10603	12700
455	10625	12676
456	10648	12652
457	10670	12628
458	10697	12608
459	10720	12584
460	10741	12559
461	10764	12535
462	10786	12510
463	10807	12484
464	10830	12460
465	10853	12436
466	10874	12411
467	10894	12384
468	10916	12359
469	10941	12338
470	10962	12312
471	10984	12287
472	11004	12260
473	11029	12239
474	11052	12215
475	11076	12193
476	11098	12169
477	11120	12144
478	11145	12122
479	11168	12099
480	11192	12076
481	11214	12051
482	11237	12028
483	11260	12004
484	11281	11979
485	11301	11952
486	11325	11930
487	11346	11904
488	11368	11880
489	11395	11860
490	11415	11833
491	11435	11807
492	11460	11786
493	11484	11763
494	11505	11737
495	11525	11711
496	11546	11685
497	11569	11662
498	11591	11638
499	11615	11615
500	11635	11589
501	11659	11566
502	11681	11542
503	11731	11545
504	11752	11519
505	11777	11497
506	11799	11474
507	11819	11447
508	11840	11421
509	11863	11398
510	11885	11373
511	11908	11350
512	11930	11325
513	11951	11300
514	11975	11278
515	11998	11253
516	12019	11228
517	12039	11202
518	12060	11177
519	12082	11152
520	12103	11127
521	12122	11100
522	12145	11077
523	12167	11052
524	12188	11027
525	12208	11002
526	12231	10977
527	12256	10956
528	12279	10933
529	12302	10909
530	12327	10888
531	12352	10866
532	12375	10843
533	12395	10817
534	12419	10794
535	12441	10770
536	12463	10745
537	12484	10721
538	12507	10697
539	12531	10674
540	12555	10652
541	12577	10628
542	12598	10603
543	12621	10579
544	12644	10556
545	12668	10534
546	12691	10510
547	12712	10485
548	12736	10462
549	12759	10439
550	12784	10418
551	12806	10393
552	12830	10371
553	12851	10346
554	12872	10321
555	12896	10298
556	12920	10276
557	12943	10252
558	12966	10229
559	12989	10206
560	13010	10181
561	13031	10156
562	13056	10134
563	13077	10109
564	13101	10087
565	13124	10063
566	13147	10040
567	13171	10017
568	13194	9994
569	13215	9969
570	13239	9946
571	13261	9923
572	13284	9899
573	13306	9875
574	13330	9852
575	13354	9830
576	13378	9807
577	13401	9784
578	13423	9760
579	13444	9735
580	13468	9713
581	13489	9688
582	13512	9664
583	13535	9641
584	13557	9617
585	13578	9593
586	13600	9569
587	13624	9546
588	13651	9526
589	13679	9506
590	13704	9484
591	13728	9461
592	13749	9436
593	13772	9413
594	13793	9388
595	13816	9365
596	13838	9341
597	13860	9317
598	13883	9294
599	13903	9268
600	13925	9245
601	13948	9221
602	13970	9198
603	13993	9174
604	14015	9150
605	14038	9127
606	14059	9102
607	14081	9078
608	14104	9055
609	14128	9033
610	14154	9011
611	14174	8986
612	14198	8963
613	14219	8938
614	14241	8915
615	14261	8890
616	14285	8867
617	14307	8844
618	14329	8819
619	14350	8795
620	14373	8772
621	14396	8749
622	14417	8724
623	14438	8700
624	14463	8678
625	14482	8652
626	14502	8627
627	14524	8603
628	14546	8579
629	14569	8556
630	14589	8531
631	14613	8508
632	14635	8485
633	14661	8463
634	14687	8442
635	14708	8418
636	14729	8393
637	14752	8370
638	14773	8346
639	14796	8322
640	14819	8299
641	14842	8276
642	14861	8251
643	14883	8227
644	14902	8202
645	14922	8177
646	14942	8152
647	14963	8128
648	14986	8105
649	15010	8082
650	15032	8059
651	15054	8035
652	15078	8012
653	15103	7990
654	15124	7966
655	15148	7943
656	15171	7920
657	15194	7897
658	15214	7872
659	15235	7848
660	15255	7823
661	15281	7802
662	15304	7779
663	15327	7756
664	15349	7732
665	15372	7709
666	15396	7686
667	15418	7663
668	15441	7639
669	15464	7616
670	15490	7595
671	15512	7571
672	15533	7547
673	15553	7522
674	15576	7499
675	15595	7474
676	15619	7452
677	15641	7428
678	15664	7405
679	15687	7382
680	15710	7359
681	15731	7335
682	15752	7311
683	15773	7287
684	15794	7263
685	15818	7240
686	15840	7216
687	15862	7193
688	15887	7171
689	15909	7147
690	15933	7124
691	15956	7101
692	15977	7078
693	15999	7054
694	16021	7031
695	16044	7007
696	16068	6985
697	16089	6961
698	16111	6937
699	16133	6914
700	16158	6891
701	16181	6869
702	16204	6846
703	16228	6823
704	16252	6800
705	16278	6778
706	16303	6756
707	16326	6733
708	16348	6710
709	16371	6686
710	16396	6664
711	16418	6640
712	16439	6617
713	16464	6594
714	16489	6572
715	16517	6551
716	16541	6528
717	16563	6505
718	16588	6483
719	16612	6460
720	16635	6437
721	16662	6415
722	16690	6394
723	16712	6371
724	16736	6348
725	16756	6324
726	16780	6301
727	16802	6277
728	16826	6255
729	16851	6232
730	16875	6209
731	16899	6187
732	16926	6165
733	16948	6142
734	16971	6118
735	16995	6096
736	17018	6073
737	17040	6049
738	17064	6026
739	17088	6004
740	17108	5980
741	17131	5956
742	17154	5933
743	17175	5909
744	17201	5887
745	17224	5864
746	17247	5841
747	17270	5818
748	17291	5794
749	17312	5770
750	17338	5748
751	17361	5725
752	17382	5701
753	17403	5677
754	17425	5654
755	17446	5630
